Category: All categories

Month,CS181W: (United States),CS182: (United States),CS182W: (United States),CS183E: (United States),CS184: (United States)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,100
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,81
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,63
2005-08,0,0,0,0,0
2005-09,0,0,0,0,56
2005-10,0,0,0,0,0
2005-11,0,0,0,0,53
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,41
2006-06,0,0,0,0,0
2006-07,0,43,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,39
2006-10,0,0,0,0,35
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,33,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,54,0,0,27
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,20
2008-10,0,18,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,19
2009-01,0,0,0,0,0
2009-02,0,20,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,36
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,14
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,13,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,10
2011-02,0,10,0,0,20
2011-03,0,0,0,0,37
2011-04,0,0,0,0,0
2011-05,0,0,0,0,9
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,17,0,0,17
2011-09,0,0,0,0,17
2011-10,0,0,0,0,8
2011-11,0,0,0,0,0
2011-12,0,8,0,0,0
2012-01,0,0,0,0,7
2012-02,0,0,0,0,0
2012-03,0,7,0,0,15
2012-04,0,0,0,0,8
2012-05,0,0,0,0,7
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,14
2012-10,0,0,0,0,13
2012-11,0,0,0,0,14
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,7
2013-03,0,0,0,0,12
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,6,0,0,0
2013-09,0,0,0,0,6
2013-10,0,0,0,0,0
2013-11,0,0,0,0,6
2013-12,0,0,0,0,0
2014-01,0,0,0,0,6
2014-02,0,0,0,0,6
2014-03,6,0,0,0,6
2014-04,0,0,0,0,18
2014-05,0,0,0,0,6
2014-06,0,0,0,0,7
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,6
2014-10,0,0,0,0,6
2014-11,0,6,0,0,0
2014-12,6,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,7,0,0,7
2015-03,0,0,0,0,6
2015-04,0,0,0,0,19
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,5,0,0,0,5
2016-04,0,0,0,0,0
2016-05,0,5,0,0,5
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,0,0,0,0,10
2016-10,5,5,0,0,5
2016-11,0,0,0,0,0
2016-12,0,0,0,0,0
2017-01,0,0,0,0,9
2017-02,0,5,0,0,0
2017-03,0,4,0,0,13
2017-04,0,0,0,0,0
2017-05,0,5,0,0,0
2017-06,0,5,0,0,0
2017-07,0,0,0,0,0
2017-08,0,0,0,0,0
2017-09,0,0,0,0,0
2017-10,0,0,0,0,0
2017-11,0,0,0,0,0
2017-12,0,0,0,0,0
2018-01,0,0,0,0,0
2018-02,0,0,0,0,5
2018-03,0,4,0,0,0
2018-04,0,0,0,0,0
2018-05,0,0,0,0,4
2018-06,0,0,0,0,0
2018-07,0,0,0,0,0
2018-08,0,0,0,0,0
2018-09,5,5,0,0,0
2018-10,0,4,0,0,0
2018-11,0,5,0,0,0
2018-12,0,0,0,0,0
2019-01,0,0,0,0,4
2019-02,0,5,0,0,14
2019-03,0,4,0,0,0
2019-04,0,0,0,0,0
2019-05,0,0,0,0,0
2019-06,0,0,0,0,0
2019-07,0,0,0,0,0
2019-08,0,4,0,0,4
2019-09,0,0,0,0,0
2019-10,0,4,0,0,0
2019-11,0,0,0,0,0
2019-12,0,0,0,0,0
2020-01,0,0,0,0,8
2020-02,0,8,0,0,0
2020-03,0,0,0,0,0
2020-04,0,0,0,0,4
2020-05,0,0,0,0,0
2020-06,0,0,0,0,0
2020-07,0,0,0,0,4
2020-08,0,4,0,0,4
2020-09,0,0,0,0,0
2020-10,0,0,0,0,4
2020-11,0,0,0,0,0
2020-12,0,0,0,0,0
2021-01,0,4,0,0,0
2021-02,0,9,0,0,0
2021-03,0,12,0,0,0
2021-04,0,4,0,0,9
2021-05,0,0,0,0,4
2021-06,0,0,0,0,0
2021-07,0,0,0,0,0
2021-08,0,0,0,0,0
2021-09,0,5,0,0,0
2021-10,0,3,0,0,0
2021-11,0,0,0,0,0
2021-12,0,0,0,0,0
2022-01,0,5,0,0,0
